user_id,signup_date,country,acquisition_channel
1,2025-04-13,USA,Facebook
2,2025-12-15,Canada,Google Ads
3,2025-09-28,Germany,Referral
4,2025-04-17,Canada,Facebook
5,2025-03-13,India,Referral
6,2025-07-08,Canada,Google Ads
7,2025-01-21,Germany,Facebook
8,2025-04-13,India,Google Ads
9,2025-05-02,UK,Facebook
10,2025-08-03,India,Google Ads
11,2025-11-27,USA,Facebook
12,2025-03-29,India,Facebook
13,2025-04-10,UK,Google Ads
14,2025-12-26,Canada,Organic
15,2025-06-01,India,Referral
16,2025-05-11,India,Google Ads
17,2025-05-30,India,Organic
18,2025-11-05,India,Organic
19,2025-09-15,UK,Facebook
20,2025-12-10,Germany,Referral
21,2025-10-21,Germany,Referral
22,2025-07-11,India,Facebook
23,2025-10-04,UK,Organic
24,2025-06-10,UK,Organic
25,2025-11-10,India,Facebook
26,2025-01-22,USA,Facebook
27,2025-09-10,India,Referral
28,2025-08-24,USA,Organic
29,2025-12-11,India,Google Ads
30,2025-02-18,USA,Google Ads
31,2025-02-28,USA,Referral
32,2025-06-19,India,Google Ads
33,2025-07-07,USA,Organic
34,2025-09-28,Canada,Google Ads
35,2025-07-09,Germany,Google Ads
36,2025-06-24,UK,Google Ads
37,2025-02-20,USA,Facebook
38,2025-12-30,USA,Google Ads
39,2025-02-24,UK,Organic
40,2025-09-01,USA,Organic
41,2025-11-16,UK,Facebook
42,2025-05-11,India,Organic
43,2025-11-03,Canada,Facebook
44,2025-05-15,Canada,Facebook
45,2025-01-21,Germany,Facebook
46,2025-11-25,USA,Facebook
47,2025-06-16,Germany,Referral
48,2025-10-01,India,Organic
49,2025-03-30,Canada,Facebook
50,2025-11-12,India,Organic
51,2025-01-14,India,Facebook
52,2025-08-30,USA,Google Ads
53,2025-09-22,India,Facebook
54,2025-12-12,Canada,Organic
55,2025-02-22,Germany,Facebook
56,2025-12-06,Canada,Referral
57,2025-04-02,USA,Facebook
58,2025-09-21,Canada,Facebook
59,2025-02-04,UK,Referral
60,2025-07-25,Germany,Facebook
61,2025-03-22,UK,Organic
62,2025-02-19,UK,Organic
63,2025-12-26,USA,Referral
64,2025-01-02,India,Google Ads
65,2025-02-23,UK,Google Ads
66,2025-04-16,Canada,Organic
67,2025-09-17,India,Organic
68,2025-11-06,Canada,Organic
69,2025-07-10,Canada,Google Ads
70,2025-08-06,India,Google Ads
71,2025-02-13,India,Facebook
72,2025-06-11,Canada,Google Ads
73,2025-07-21,USA,Google Ads
74,2025-09-27,Germany,Google Ads
75,2025-12-17,Germany,Google Ads
76,2025-10-31,USA,Organic
77,2025-09-28,India,Organic
78,2025-08-03,Canada,Google Ads
79,2025-09-09,Germany,Google Ads
80,2025-07-09,Canada,Organic
81,2025-10-23,USA,Facebook
82,2025-08-01,Canada,Organic
83,2025-07-27,USA,Organic
84,2025-08-25,India,Referral
85,2025-12-04,USA,Organic
86,2025-02-22,USA,Facebook
87,2025-10-07,Germany,Organic
88,2025-08-05,Canada,Google Ads
89,2025-09-09,Germany,Google Ads
90,2025-07-07,UK,Google Ads
91,2025-02-10,USA,Facebook
92,2025-06-06,UK,Google Ads
93,2025-01-15,Germany,Google Ads
94,2025-10-28,Canada,Organic
95,2025-03-06,Germany,Referral
96,2025-12-11,Canada,Google Ads
97,2025-11-23,Canada,Facebook
98,2025-01-09,India,Google Ads
99,2025-12-10,USA,Referral
100,2025-05-09,Germany,Google Ads
101,2025-05-16,Canada,Referral
102,2025-03-04,Germany,Google Ads
103,2025-05-19,Germany,Organic
104,2025-03-22,Canada,Google Ads
105,2025-06-12,UK,Google Ads
106,2025-10-16,USA,Google Ads
107,2025-09-18,USA,Google Ads
108,2025-08-19,India,Organic
109,2025-02-10,India,Organic
110,2025-01-28,India,Facebook
111,2025-05-15,USA,Referral
112,2025-07-20,UK,Facebook
113,2025-11-24,USA,Referral
114,2025-09-25,USA,Google Ads
115,2025-02-02,USA,Referral
116,2025-02-17,USA,Google Ads
117,2025-03-03,UK,Facebook
118,2025-08-04,India,Facebook
119,2025-10-20,Germany,Facebook
120,2025-04-09,India,Organic
121,2025-06-21,India,Facebook
122,2025-12-26,Germany,Referral
123,2025-08-02,USA,Referral
124,2025-02-04,UK,Referral
125,2025-08-15,UK,Referral
126,2025-04-11,India,Organic
127,2025-05-11,Germany,Referral
128,2025-09-14,Canada,Referral
129,2025-01-05,USA,Facebook
130,2025-08-06,India,Organic
131,2025-09-12,UK,Referral
132,2025-12-25,Germany,Organic
133,2025-10-10,Germany,Facebook
134,2025-07-26,India,Google Ads
135,2025-01-15,Canada,Organic
136,2025-12-12,UK,Referral
137,2025-02-11,India,Facebook
138,2025-06-28,Canada,Google Ads
139,2025-03-04,Germany,Facebook
140,2025-12-18,USA,Organic
141,2025-08-19,UK,Facebook
142,2025-08-29,UK,Organic
143,2025-02-21,Canada,Referral
144,2025-04-06,India,Organic
145,2025-08-10,Germany,Facebook
146,2025-08-19,Canada,Referral
147,2025-08-25,USA,Organic
148,2025-05-23,USA,Google Ads
149,2025-06-20,USA,Facebook
150,2025-01-29,Canada,Organic
151,2025-02-05,Germany,Organic
152,2025-01-13,UK,Referral
153,2025-06-09,India,Facebook
154,2025-11-23,UK,Google Ads
155,2025-07-06,Germany,Google Ads
156,2025-08-31,UK,Organic
157,2025-03-27,Canada,Organic
158,2025-10-11,USA,Facebook
159,2025-03-07,Germany,Facebook
160,2025-06-19,Germany,Referral
161,2025-02-14,UK,Referral
162,2025-03-03,Canada,Google Ads
163,2025-05-14,UK,Organic
164,2025-10-11,UK,Organic
165,2025-01-28,Germany,Google Ads
166,2025-04-18,UK,Facebook
167,2025-02-13,USA,Google Ads
168,2025-12-06,UK,Google Ads
169,2025-10-13,USA,Organic
170,2025-11-27,Germany,Facebook
171,2025-05-08,Canada,Facebook
172,2025-12-14,USA,Facebook
173,2025-08-19,Canada,Google Ads
174,2025-07-09,Canada,Organic
175,2025-08-13,USA,Facebook
176,2025-10-10,Germany,Facebook
177,2025-05-01,India,Referral
178,2025-04-26,Canada,Facebook
179,2025-08-21,Canada,Organic
180,2025-09-16,Germany,Facebook
181,2025-12-25,Germany,Referral
